fbGroup, lat, lon 
Western MA Noise, 42.3772366689, -72.5200542293, 2013-04-26T17:30:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2013-03-23T19:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2013-03-29T20:00:00-0400 
Western MA Noise, 42.3193167093, -72.6278914073, 2013-03-07T22:00:00-0500 
Western MA Noise, 42.2712825404, -72.6720969378, 2013-03-09T17:00:00-0500 
Western MA Noise, 42.2712825404, -72.6720969378, 2013-03-22T20:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2013-02-01T20:00:00-0500 
Western MA Noise, 42.3193167093, -72.6278914073, 2013-03-21T22:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2013-02-01T20:00:00-0500 
Western MA Noise, 42.3193167093, -72.6278914073, 2013-01-24T22:00:00-0500 
Western MA Noise, 42.3193167093, -72.6278914073, 2013-01-31T22:00:00-0500 
Western MA Noise, 42.2712825404, -72.6720969378, 2013-01-07T20:00:00-0500 
Western MA Noise, 42.3218153364, -72.631940172, 2013-01-05T21:30:00-0500 
Western MA Noise, 42.3218153364, -72.631940172, 2013-01-01T21:00:00-0500 
Western MA Noise, 42.3218153364, -72.631940172, 2013-01-05T21:30:00-0500 
Western MA Noise, 42.3348688422, -72.6536148095, 2012-12-23T19:00:00-0500 
Western MA Noise, 42.3218153364, -72.631940172, 2013-01-05T21:30:00-0500 
Western MA Noise, 42.3193167093, -72.6278914073, 2013-01-03T22:00:00-0500 
Western MA Noise, 42.3193167093, -72.6278914073, 2013-01-24T22:00:00-0500 
Western MA Noise, 42.3193167093, -72.6278914073, 2013-01-10T22:00:00-0500 
Western MA Noise, 42.2712825404, -72.6720969378, 2013-01-07T20:00:00-0500 
Western MA Noise, 42.3218153364, -72.631940172, 2012-11-19T22:00:00-0500 
Western MA Noise, 42.2712825404, -72.6720969378, 2012-11-09T20:00:00-0500 
Western MA Noise, 42.3254949879, -72.6553292014, 2012-11-02T20:00:00-0400 
Western MA Noise, 42.6543588244, -73.7658270534, 2012-10-30T19:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2012-10-20T20:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2012-10-20T20:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2012-10-19T20:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2012-10-20T20:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2012-10-13T19:00:00-0400 
Western MA Noise, 42.3218153364, -72.631940172, 2012-10-06T21:30:00-0400 
Western MA Noise, 42.3263404337, -72.5254933046, 2012-10-02T20:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2012-11-09T20:00:00-0500 
Western MA Noise, 42.3263404337, -72.5254933046, 2012-10-02T20:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2012-10-04T19:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2012-09-21T20:00:00-0400 
Western MA Noise, 42.3218153364, -72.631940172, 2012-09-08T21:00:00-0400 
Western MA Noise, 42.587939, -72.601523, 2012-09-06T20:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2012-09-09T18:30:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2012-09-09T18:30:00-0400 
Western MA Noise, 42.335164828, -72.6732517338, 2012-09-02T20:30:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2012-09-01T19:30:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2012-09-07T19:00:00-0400 
Western MA Noise, 42.3218153364, -72.631940172, 2012-09-15T21:00:00-0400 
Western MA Noise, 42.335164828, -72.6732517338, 2012-09-02T20:30:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2012-09-01T19:30:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2012-08-07T20:00:00-0400 
Western MA Noise, 42.3120810609, -72.6347061085, 2012-08-04T14:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2012-07-06T20:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2012-06-27T20:00:00-0400 
Western MA Noise, 42.3193167093, -72.6278914073, 2012-06-28T22:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2012-06-17T19:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2012-06-29T19:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2012-06-27T20:00:00-0400 
Western MA Noise, 42.587939, -72.601523, 2012-06-10T16:00:00-0400 
Western MA Noise, 42.3218153364, -72.631940172, 2012-06-02T22:15:00-0400 
Western MA Noise, 42.3193167093, -72.6278914073, 2012-06-07T21:30:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2012-05-22T20:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2012-05-22T20:00:00-0400 
Western MA Noise, 42.3120810609, -72.6347061085, 2012-05-03T19:00:00-0400 
Western MA Noise, 42.3120810609, -72.6347061085, 2012-05-03T19:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2012-05-08T20:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2012-05-08T20:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2012-05-12T20:00:00-0400 
Western MA Noise, 42.3837332546, -72.5306239167, 2012-04-07T20:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2012-03-08T20:00:00-0500 
Western MA Noise, 42.2712825404, -72.6720969378, 2012-03-08T20:00:00-0500 
Western MA Noise, 42.2712825404, -72.6720969378, 2012-03-08T20:00:00-0500 
Boston Hassle, 42.3063480898, -71.1076025885, 2014-11-26T20:00:00-0500 
Boston Hassle, 42.3063498826, -71.1075636012, 2014-11-28T21:00:00-0500 
