Shuffle ID,Group ID,Post ID,https://www.facebook.com/Group ID_Post ID
308,57795809271,10151638838799272,https://www.facebook.com/57795809271_10151638838799272
1806,301986473149390,10152713168630801,https://www.facebook.com/301986473149390_10152713168630801
1193,301986473149390,912664308748267,https://www.facebook.com/301986473149390_912664308748267
1862,301986473149390,923478981000133,https://www.facebook.com/301986473149390_923478981000133
1388,301986473149390,960628363951861,https://www.facebook.com/301986473149390_960628363951861
390,301986473149390,959763720704992,https://www.facebook.com/301986473149390_959763720704992
754,57795809271,10151428859454272,https://www.facebook.com/57795809271_10151428859454272
43,301986473149390,953977861283578,https://www.facebook.com/301986473149390_953977861283578
917,57795809271,10151216380059272,https://www.facebook.com/57795809271_10151216380059272
500,57795809271,10151156735914272,https://www.facebook.com/57795809271_10151156735914272
1332,57795809271,10152107304649272,https://www.facebook.com/57795809271_10152107304649272
940,57795809271,10151503871849272,https://www.facebook.com/57795809271_10151503871849272
1144,301986473149390,954146657933365,https://www.facebook.com/301986473149390_954146657933365
535,301986473149390,964913840189980,https://www.facebook.com/301986473149390_964913840189980
763,57795809271,10150636666089272,https://www.facebook.com/57795809271_10150636666089272
1834,57795809271,10152417340859272,https://www.facebook.com/57795809271_10152417340859272
742,301986473149390,947664381914926,https://www.facebook.com/301986473149390_947664381914926
1126,57795809271,10151165388409272,https://www.facebook.com/57795809271_10151165388409272
567,57795809271,10152187627804272,https://www.facebook.com/57795809271_10152187627804272
1508,57795809271,10152460310144272,https://www.facebook.com/57795809271_10152460310144272
1908,57795809271,10151247472049272,https://www.facebook.com/57795809271_10151247472049272
271,57795809271,10152160056164272,https://www.facebook.com/57795809271_10152160056164272
732,301986473149390,10152703863855783,https://www.facebook.com/301986473149390_10152703863855783
656,57795809271,10151793692949272,https://www.facebook.com/57795809271_10151793692949272
439,57795809271,10150827578334272,https://www.facebook.com/57795809271_10150827578334272
921,57795809271,10152342778569272,https://www.facebook.com/57795809271_10152342778569272
1722,301986473149390,954081374606560,https://www.facebook.com/301986473149390_954081374606560
715,301986473149390,931019170246114,https://www.facebook.com/301986473149390_931019170246114
984,57795809271,10152165676459272,https://www.facebook.com/57795809271_10152165676459272
1262,301986473149390,955278444486853,https://www.facebook.com/301986473149390_955278444486853
1872,301986473149390,953971357950895,https://www.facebook.com/301986473149390_953971357950895
1329,57795809271,10151231877234272,https://www.facebook.com/57795809271_10151231877234272
1086,301986473149390,10152596202125801,https://www.facebook.com/301986473149390_10152596202125801
276,57795809271,10151131783464272,https://www.facebook.com/57795809271_10151131783464272
835,57795809271,10151954608874272,https://www.facebook.com/57795809271_10151954608874272
615,57795809271,10151086508854272,https://www.facebook.com/57795809271_10151086508854272
991,301986473149390,927621700585861,https://www.facebook.com/301986473149390_927621700585861
1116,57795809271,10151152822834272,https://www.facebook.com/57795809271_10151152822834272
1534,301986473149390,933074940040537,https://www.facebook.com/301986473149390_933074940040537
718,301986473149390,916939984987366,https://www.facebook.com/301986473149390_916939984987366
627,301986473149390,10152774557666067,https://www.facebook.com/301986473149390_10152774557666067
1552,57795809271,10150433654139272,https://www.facebook.com/57795809271_10150433654139272
1629,301986473149390,10152786348910783,https://www.facebook.com/301986473149390_10152786348910783
215,301986473149390,961321367215894,https://www.facebook.com/301986473149390_961321367215894
7,57795809271,10151750289214272,https://www.facebook.com/57795809271_10151750289214272
1143,301986473149390,939433556071342,https://www.facebook.com/301986473149390_939433556071342
286,57795809271,10151151016619272,https://www.facebook.com/57795809271_10151151016619272
1405,301986473149390,936579493023415,https://www.facebook.com/301986473149390_936579493023415
1697,57795809271,10152279560739272,https://www.facebook.com/57795809271_10152279560739272
123,57795809271,10151493556504272,https://www.facebook.com/57795809271_10151493556504272
1485,301986473149390,938129986201699,https://www.facebook.com/301986473149390_938129986201699
1296,57795809271,10150595163419272,https://www.facebook.com/57795809271_10150595163419272
752,301986473149390,923518830996148,https://www.facebook.com/301986473149390_923518830996148
1678,57795809271,10151807535609272,https://www.facebook.com/57795809271_10151807535609272
198,301986473149390,954539401227424,https://www.facebook.com/301986473149390_954539401227424
897,57795809271,10150330354194272,https://www.facebook.com/57795809271_10150330354194272
143,57795809271,10151214894839272,https://www.facebook.com/57795809271_10151214894839272
1656,301986473149390,949385315076166,https://www.facebook.com/301986473149390_949385315076166
1913,301986473149390,10152707242644894,https://www.facebook.com/301986473149390_10152707242644894
645,57795809271,10152599641939272,https://www.facebook.com/57795809271_10152599641939272
690,57795809271,10151410721604272,https://www.facebook.com/57795809271_10151410721604272
1897,301986473149390,912135468801151,https://www.facebook.com/301986473149390_912135468801151
1490,301986473149390,955225441158820,https://www.facebook.com/301986473149390_955225441158820
331,301986473149390,10152593071080783,https://www.facebook.com/301986473149390_10152593071080783
913,301986473149390,929933747021323,https://www.facebook.com/301986473149390_929933747021323
177,301986473149390,930633310284700,https://www.facebook.com/301986473149390_930633310284700
964,301986473149390,933661113315253,https://www.facebook.com/301986473149390_933661113315253
1359,57795809271,10151425348454272,https://www.facebook.com/57795809271_10151425348454272
339,301986473149390,966780423336655,https://www.facebook.com/301986473149390_966780423336655
416,301986473149390,916388998375798,https://www.facebook.com/301986473149390_916388998375798
1330,57795809271,10151835971644272,https://www.facebook.com/57795809271_10151835971644272
251,57795809271,10151767425599272,https://www.facebook.com/57795809271_10151767425599272
